name,latitude,longitude,region,status,capacity,elevation_m,address
Night Shelter - Railway Station Road,28.489369,77.010925,Gurugram,active,,,"Railway Road, Gurgaon Railway Station, Gurugram, Haryana"
Night Shelter - Kadipur,28.45071,77.00288,Gurugram,active,,,"Kadipur Chowk, Near Sector 10, Gurugram, Haryana"
Night Shelter - Bhim Nagar,28.4706624,77.0207959,Gurugram,active,,,"Bhim Nagar, Sector 7, Gurugram, Haryana"
Night Shelter - Sohna Chowk,28.4385531,77.0346188,Gurugram,active,,,"Sohna Chowk, Gurugram, Haryana"
Night Shelter - Rajiv Chowk,28.4474696,77.0328365,Gurugram,active,,,"Rajiv Chowk, Gurugram, Haryana"
Night Shelter - Kanhai Community Centre,28.44314,77.05147,Gurugram,active,,,"Kanhai Mor Road, Kanhai, Sector 45, Gurugram, Haryana"
Night Shelter - Darbaripur Road Badshahpur,28.40096,77.04537,Gurugram,active,,,"Near Vatika Chowk / Darbaripur Road, Badshahpur, Gurugram, Haryana"
